order_id,customer_id,customer_name,email,phone,province,category,product_name,quantity,unit_price,discount_pct,order_date,ship_date,status,sales_rep,revenue,_issues,_severity,_unit_price_num,_qty_num,_province_std,_order_dt,_ship_dt
ORD011176,CUST01541,Jean Wilson,jean.wilson35@gmail.com,+1-232-792-8032,Manitoba,Books,Toys Item 074,15,172.58,-10,2023-01-06,2023-01-19,Pending,REP005,2459.27,INVALID_DISCOUNT,WARNING,172.58,15.0,Manitoba,2023-01-06,2023-01-19
ORD014770,CUST00194,David Thompson,david.thompson11@hotmail.com,+1-229-343-6307,Saskatchewan,Toys,Clothing Item 140,2,338.51,0,2023-02-13,2023-02-19,Cancelled,REP026,677.02,,,338.51,2.0,Saskatchewan,2023-02-13,2023-02-19
ORD011090,CUST01654,Linda Jackson,linda.jackson19@gmail.com,+1-573-882-1036,Nova Scotia,Home & Garden,Clothing Item 169,6,94.32,10,2023-06-15,2023-06-28,Shipped,REP044,509.33,,,94.32,6.0,Nova Scotia,2023-06-15,2023-06-28
ORD014817,CUST01550,Susan Davis,susan.davis81@outlook.com,+1-516-719-3788,quebec,Health & Beauty,Clothing Item 196,3,408.58,5,2023-01-31,2023-02-14,Cancelled,REP015,1164.45,,,408.58,3.0,Quebec,2023-01-31,2023-02-14
ORD014375,CUST01210,Barbara Taylor,barbara.taylor34@hotmail.com,+1-620-863-3754,Nova Scotia,Food & Beverage,Home & Garden Item 107,7,300.45,10,2022-08-31,2022-09-13,Completed,REP038,1892.84,,,300.45,7.0,Nova Scotia,2022-08-31,2022-09-13
ORD010279,CUST00723,Richard Davis,,+1-693-718-1108,BRITISH COLUMBIA,Health & Beauty,Home & Garden Item 059,3,259.7,10,2023-06-13,2023-06-20,Pending,REP010,701.19,NULL_EMAIL,CRITICAL,259.7,3.0,British Columbia,2023-06-13,2023-06-20
ORD010996,CUST00308,John Martinez,john.martinez70@outlook.com,+1-704-194-3488,Ontario,Electronics,Health & Beauty Item 046,2,71.07,10,2024-01-26,2024-01-27,Shipped,REP043,127.93,,,71.07,2.0,Ontario,2024-01-26,2024-01-27
ORD010584,CUST00934,Carlos Davis,carlos.davis19@company.ca,+1-490-249-1562,Saskatchewan,Books,Clothing Item 071,19,241.75,5,2023-05-27,2023-06-07,Cancelled,REP019,4363.59,,,241.75,19.0,Saskatchewan,2023-05-27,2023-06-07
ORD011485,CUST01812,Priya Brown,priya.brown50@gmail.com,+1-375-919-8737,Nova Scotia,Food & Beverage,Home & Garden Item 004,18,21.38,5,2024-01-07,2024-01-17,Completed,REP016,365.6,,,21.38,18.0,Nova Scotia,2024-01-07,2024-01-17
ORD013926,CUST01104,Joseph Lopez,joseph.lopez78@yahoo.com,+1-619-852-8825,Ontario,Clothing,Sports Item 111,3,293.7,15,2022-03-25,2022-04-03,Cancelled,REP029,748.94,,,293.7,3.0,Ontario,2022-03-25,2022-04-03
ORD012771,CUST00986,Michael Davis,michael.davis82@gmail.com,+1-285-961-1093,Quebec,Books,Home & Garden Item 106,6,42.99,20,2024-05-03,2024-05-13,Returned,REP011,206.35,,,42.99,6.0,Quebec,2024-05-03,2024-05-13
